date,branch,product,mass,materials,lifeCycleStep,lifeCycleStepCountry,impact,value,norm_value_ecs
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,fru,30.35324179,32.77933266
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,fwe,8.43E-08,0.001243080959
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,htc,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,htc-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,htn,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,htn-c,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,ior,0.04321198704,0.4331274293
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,ldu,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,mru,1.82E-07,0.1824029636
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,ozd,2.19E-11,2.17E-05
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,pco,0.0129307085,12.75373851
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,pma,1.05E-06,133.9771737
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,swe,0.004421517738,5.655503318
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,tre,0.04844816013,8.579261758
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,wtu,0,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,ecs,274.7564468,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Tissage & Tricotage,IN,pef,343.5339427,0
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,acd,0.02927389981,27.55153385
2023-10-24,master,chemise,0.25,"[{'id': 'coton', 'share': 1}]",Ennoblissement,IN,cch,3.907542248,124.5247527
